Handle;Title;Body (HTML);Vendor;Product Category;Type;Tags;Published;Option1 Name;Option1 Value;Option2 Name;Option2 Value;Option3 Name;Option3 Value;Variant SKU;Variant Grams;Variant Inventory Tracker;Variant Inventory Qty;Variant Inventory Policy;Variant Fulfillment Service;Variant Price;Variant Compare At Price;Variant Requires Shipping;Variant Taxable;Variant Barcode;Image Src;Image Position;Image Alt Text;Gift Card;SEO Title;SEO Description;Google Shopping / Google Product Category;Google Shopping / Gender;Google Shopping / Age Group;Google Shopping / MPN;Google Shopping / Condition;Google Shopping / Custom Product;Google Shopping / Custom Label 0;Google Shopping / Custom Label 1;Google Shopping / Custom Label 2;Google Shopping / Custom Label 3;Google Shopping / Custom Label 4;Variant Image;Variant Weight Unit;Variant Tax Code;Cost per item;Included / United States;Price / United States;Compare At Price / United States;Included / International;Price / International;Compare At Price / International;Included / Vietnam;Price / Vietnam;Compare At Price / Vietnam;Status
6pcs5in-if-youre-not-outraged-youre-not-paying-attention-bumper-sticker;6pcs(5IN) IF You're NOT Outraged, You're NOT PAYING Attention Bumper Sticker;6Pcs Vinyl decal stickers (5(in) x 1.67(in) x 0.03(in) each pack);Chansenchine;Vehicles & Parts > Vehicle Parts & Accessories > Vehicle Maintenance, Care & Decor > Vehicle Decor > Bumper Stickers;;;TRUE;Title;Default Title;;;;;SKU20240412_132635;0.0;shopify;50;continue;manual;13.00;16.00;TRUE;TRUE;;https://i.postimg.cc/44j0d8ZC/SKU20240412-132635-IF-YOURE-NOT-OUTRAGED-YOURE-NOT-PAYING-ATTENTION-copy.jpg;1;;FALSE;;;;;;;;;;;;;;;kg;;;TRUE;;;TRUE;;;TRUE;;;active
6pcs5in-if-youre-not-outraged-youre-not-paying-attention-bumper-sticker;;;;;;;;;;;;;;;;;;;;;;;;;https://i.postimg.cc/8kv2h8Zk/SKU20240412-132635-IF-YOURE-NOT-OUTRAGED-YOURE-NOT-PAYING-ATTENTION-copy.jpg;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6pcs5in-if-youre-not-outraged-youre-not-paying-attention-bumper-sticker;;;;;;;;;;;;;;;;;;;;;;;;;https://i.postimg.cc/x1g8nNmZ/SKU20240412-132635-IF-YOURE-NOT-OUTRAGED-YOURE-NOT-PAYING-ATTENTION-copy.jpg;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6pcs5in-my-brakes-are-good-how-is-your-insurance-bumper-sticker;6pcs(5IN) My Brakes are Good How is Your Insurance Bumper Sticker;6Pcs Vinyl decal stickers (5(in) x 1.67(in) x 0.03(in) each pack);Chansenchine;Vehicles & Parts > Vehicle Parts & Accessories > Vehicle Maintenance, Care & Decor > Vehicle Decor > Bumper Stickers;;;TRUE;Title;Default Title;;;;;SKU20240412_132636;0.0;shopify;50;continue;manual;13.00;16.00;TRUE;TRUE;;https://i.postimg.cc/sgWmLyZ1/SKU20240412-132636-MY-BRAKES-ARE-GOOD-HOW-IS-YOUR-INSURANCE-copy.jpg;1;;FALSE;;;;;;;;;;;;;;;kg;;;TRUE;;;TRUE;;;TRUE;;;active
6pcs5in-my-brakes-are-good-how-is-your-insurance-bumper-sticker;;;;;;;;;;;;;;;;;;;;;;;;;https://i.postimg.cc/mDKNj527/SKU20240412-132636-MY-BRAKES-ARE-GOOD-HOW-IS-YOUR-INSURANCE-copy.jpg;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6pcs5in-my-brakes-are-good-how-is-your-insurance-bumper-sticker;;;;;;;;;;;;;;;;;;;;;;;;;https://i.postimg.cc/sgSF4kj4/SKU20240412-132636-MY-BRAKES-ARE-GOOD-HOW-IS-YOUR-INSURANCE-copy.jpg;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6pcs5in-hold-my-beer-and-watch-this-bumper-sticker;6pcs(5IN) Hold My Beer and Watch This! Bumper Sticker;6Pcs Vinyl decal stickers (5(in) x 1.67(in) x 0.03(in) each pack);Chansenchine;Vehicles & Parts > Vehicle Parts & Accessories > Vehicle Maintenance, Care & Decor > Vehicle Decor > Bumper Stickers;;;TRUE;Title;Default Title;;;;;SKU20240412_132637;0.0;shopify;50;continue;manual;13.00;16.00;TRUE;TRUE;;https://i.postimg.cc/2S5GzvJb/SKU20240412-132637-HOLD-MY-BEER-AND-WATCH-THIS-copy.jpg;1;;FALSE;;;;;;;;;;;;;;;kg;;;TRUE;;;TRUE;;;TRUE;;;active
6pcs5in-hold-my-beer-and-watch-this-bumper-sticker;;;;;;;;;;;;;;;;;;;;;;;;;https://i.postimg.cc/fRjshGGT/SKU20240412-132637-HOLD-MY-BEER-AND-WATCH-THIS-copy.jpg;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6pcs5in-hold-my-beer-and-watch-this-bumper-sticker;;;;;;;;;;;;;;;;;;;;;;;;;https://i.postimg.cc/76cMXYnB/SKU20240412-132637-HOLD-MY-BEER-AND-WATCH-THIS-copy.jpg;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6pcs5in-im-here-because-you-broke-something-bumper-sticker;6pcs(5IN) I’m Here Because You Broke Something Bumper Sticker;6Pcs Vinyl decal stickers (5(in) x 1.67(in) x 0.03(in) each pack);Chansenchine;Vehicles & Parts > Vehicle Parts & Accessories > Vehicle Maintenance, Care & Decor > Vehicle Decor > Bumper Stickers;;;TRUE;Title;Default Title;;;;;SKU20240412_132638;0.0;shopify;50;continue;manual;13.00;16.00;TRUE;TRUE;;https://i.postimg.cc/q7s99S5X/SKU20240412-132638-I-M-HERE-BECAUSE-YOU-BROKE-SOMETHING-copy.jpg;1;;FALSE;;;;;;;;;;;;;;;kg;;;TRUE;;;TRUE;;;TRUE;;;active
