SKU,Name1,Name2
SKU20240412_063743_NO QUARTER NO MERCY,"NO QUARTER,",NO MERCY
SKU20240412_063744_BE THE BEST VERSION OF YOURSELF,BE THE BEST,VERSION OF YOURSELF
SKU20240412_063745_JOY TO THE WORLD THE LORD IS COME,JOY TO THE WORLD,THE LORD IS COME
SKU20240412_063746_GOOD LASHES GOOD MOOD,GOOD LASHES,GOOD MOOD
SKU20240412_063747_TREAT PEOPLE WITH KINDNESS,TREAT PEOPLE,WITH KINDNESS
SKU20240412_063748_LIFE IS BETTER BY THE CAMP FIRE,LIFE IS BETTER BY,THE CAMP FIRE
SKU20240412_063749_DONT BE A SALTY BITCH,DON'T BE A,SALTY BITCH
SKU20240412_063750_KNOW YOUR LIMITS CRUSH THEM,KNOW YOUR,LIMITS CRUSH THEM
SKU20240412_063751_YOU ONLY FAIL WHEN YOU STOP TRYING,YOU ONLY FAIL WHEN,YOU STOP TRYING
SKU20240412_063752_FARM HAIR DONT CARE,FARM HAIR,DON'T CARE
SKU20240412_063753_MY WESTIE IS SMARTER THAN YOUR HONOR STUDENT,MY WESTIE IS SMARTER,THAN YOUR HONOR STUDENT
SKU20240412_063754_I DONT HAVE THE ENERGY TO PRETEND TO LIKE YOU TODAY,I DON'T HAVE THE ENERGY TO,PRETEND TO LIKE YOU TODAY
SKU20240412_063755_NOT FRAGILE LIKE A FLOWER FRAGILE LIKE A BOMB,NOT FRAGILE LIKE A,FLOWER FRAGILE LIKE A BOMB
SKU20240412_063756_WORK LIKE A CAPTAIN PLAY LIKE A PIRATE,"WORK LIKE A CAPTAIN,",PLAY LIKE A PIRATE
SKU20240412_063757_NO AIRBAGS WE DIE LIKE REAL MEN,NO AIRBAGS WE DIE,LIKE REAL MEN
SKU20240412_063758_I PARK LIKE AN ASSHOLE,I PARK LIKE,AN ASSHOLE
SKU20240412_063759_I DONT WATCH PORN I READ IT LIKE A FUCKING LADY,I DON'T WATCH PORN I READ,IT LIKE A FUCKING LADY
SKU20240412_063800_ITS A WONDERFUL LIFE,IT'S A,WONDERFUL LIFE
SKU20240412_063801_I WAS LIKE WHATEVER BITCHES AND THE BITCHES WHATEVERED,I WAS LIKE WHATEVER BITCHES,AND THE BITCHES WHATEVERED
SKU20240412_063802_I SKI LIKE A GIRL TRY TO KEEP UP,I SKI LIKE A GIRL,TRY TO KEEP UP
SKU20240412_063803_I LIKE BIG BOOKS AND I CANNOT LIE,I LIKE BIG BOOKS,AND I CANNOT LIE
SKU20240412_063804_THINK LIKE A PROTON BE POSITIVE,THINK LIKE A,PROTON BE POSITIVE
SKU20240412_063805_I LIKE MY BOOKS SPICY AND MY COFFEE ICY,I LIKE MY BOOKS SPICY,AND MY COFFEE ICY
SKU20240412_063806_YOU SMELL LIKE DRAMA AND A HEADACHE PLEASE GET AWAY FROM ME,YOU SMELL LIKE DRAMA AND A,HEADACHE PLEASE GET AWAY FROM ME
SKU20240412_063807_THIS TOO SHALL PASS IT MIGHT PASS LIKE A KIDNEY STONE BUT IT WILL PASS,THIS TOO SHALL PASS. IT MIGHT PASS,LIKE A KIDNEY STONE BUT IT WILL PASS
SKU20240412_063808_LOOK LIKE A BEAUTY LIFT LIKE A BEAST,LOOK LIKE A BEAUTY,LIFT LIKE A BEAST
SKU20240412_063809_I RUN LIKE A HERD OF TURTLES THROUGH PEANUT BUTTER BUT I RUN,I RUN LIKE A HERD OF TURTLES,THROUGH PEANUT BUTTER BUT I RUN!
SKU20240412_063810_POP IT LIKE ITS HOT,POP IT LIKE,ITS HOT
SKU20240412_063811_I LIKE DOGS COFFEE AND MAYBE 3 PEOPLE,I LIKE DOGS COFFEE,AND MAYBE 3 PEOPLE
SKU20240412_063812_GUINEA PIGS ARE LIKE POTATO CHIPS YOU CANT JUST HAVE ONE,GUINEA PIGS ARE LIKE POTATO,CHIPS YOU CAN'T JUST HAVE ONE
SKU20240412_063813_CLIMB LIKE A GIRL,CLIMB LIKE,A GIRL
SKU20240412_063814_WHAT I LIKE ABOUT PEOPLE THEIR DOGS,WHAT I LIKE ABOUT,PEOPLE? THEIR DOGS.
