SKU,Name1,Name2
SKU20240413_174823_THE TRUTH IS STILL OUT THERE,THE TRUTH IS,STILL OUT THERE
SKU20240413_174824_I HAVE NO IDEA WHAT IM DOING,I HAVE NO IDEA,WHAT I'M DOING
SKU20240413_174825_THIS IS THE WAY,THIS IS,THE WAY
SKU20240413_174826_JESUS THE WAY THE TRUTH THE LIFE,JESUS: THE WAY. THE,TRUTH. THE LIFE
SKU20240413_174827_MY BROOM IS IN THE SHOP,MY BROOM IS,IN THE SHOP
SKU20240413_174828_I DO BELIEVE ITS TIME FOR ANOTHER ADVENTURE TURE,I DO BELIEVE ITS TIME FOR,ANOTHER ADVENTURE TURE
SKU20240413_174829_YES THIS IS MY TRUCK NO I WONT HELP YOU MOVE,"YES, THIS IS MY TRUCK. NO,",I WON'T HELP YOU MOVE
SKU20240413_174830_IM FINE ITS JUST MY FACE,I'M FINE IT'S,JUST MY FACE
SKU20240413_174831_MY OTHER BROOM IS A CAR,MY OTHER,BROOM IS A CAR
SKU20240413_174832_MY OTHER CAR IS A BROOMSTICK,MY OTHER CAR IS,A BROOMSTICK
SKU20240413_174833_MY OTHER RIDE IS A BROOM,MY OTHER RIDE,IS A BROOM
SKU20240413_174834_MY OTHER MOTORCYCLE IS A BROOM,MY OTHER,MOTORCYCLE IS A BROOM
SKU20240413_174835_IM GOING ON AN ADVENTURE,I'M GOING ON,AN ADVENTURE
SKU20240413_174836_ITS TIME FOR ANOTHER ADVENTURE,IT'S TIME FOR,ANOTHER ADVENTURE
SKU20240413_174837_IM NICER THAN MY FACE LOOKS,I'M NICER THAN,MY FACE LOOKS
SKU20240413_174838_DONT WORRY I KNOW WHAT IM DOING,DON'T WORRY I KNOW,WHAT I'M DOING
SKU20240413_174839_HOLD ON LET ME OVERTHINK THIS,HOLD ON LET ME,OVERTHINK THIS
SKU20240413_174840_YOURE INSECURE,YOU'RE,INSECURE
SKU20240413_174841_SPEAK YOUR MIND EVEN IF YOUR VOICE SHAKES,SPEAK YOUR MIND EVEN,IF YOUR VOICE SHAKES
SKU20240413_174842_DO YOU FOLLOW JESUS THIS CLOSE,DO YOU FOLLOW,JESUS THIS CLOSE?
SKU20240413_174843_PLEASE BE PATIENT IM ACTUALLY THREE DOGS IN A TRENCH COAT,"PLEASE BE PATIENT, I'M ACTUALLY",THREE DOGS IN A TRENCH COAT
