Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Included / United States,Price / United States,Compare At Price / United States,Included / International,Price / International,Compare At Price / International,Included / Vietnam,Price / Vietnam,Compare At Price / Vietnam,Status
6pcs5in-motorcycles-are-everywhere-bumper-sticker,6pcs(5IN) motorcycles are everywhere Bumper Sticker,6Pcs Vinyl decal stickers (5(in) x 1.67(in) x 0.03(in) each pack),Chansenchine,"Vehicles & Parts > Vehicle Parts & Accessories > Vehicle Maintenance, Care & Decor > Vehicle Decor > Bumper Stickers",,,TRUE,Title,Default Title,,,,,SKU20240413_174610,0.0,shopify,50,continue,manual,13.00,16.00,TRUE,TRUE,,https://i.postimg.cc/3xY08wKL/SKU20240413-174610-MOTORCYCLES-ARE-EVERYWHERE-copy.jpg,1,,FALSE,,,,,,,,,,,,,,,kg,,,TRUE,,,TRUE,,,TRUE,,,active
6pcs5in-motorcycles-are-everywhere-bumper-sticker,,,,,,,,,,,,,,,,,,,,,,,,,https://i.postimg.cc/P5SJdzVx/SKU20240413-174610-MOTORCYCLES-ARE-EVERYWHERE-copy.jpg,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6pcs5in-motorcycles-are-everywhere-bumper-sticker,,,,,,,,,,,,,,,,,,,,,,,,,https://i.postimg.cc/BQsnDwdb/SKU20240413-174610-MOTORCYCLES-ARE-EVERYWHERE-copy.jpg,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6pcs5in-my-body-my-choice-bumper-sticker,6pcs(5IN) my body my choice Bumper Sticker,6Pcs Vinyl decal stickers (5(in) x 1.67(in) x 0.03(in) each pack),Chansenchine,"Vehicles & Parts > Vehicle Parts & Accessories > Vehicle Maintenance, Care & Decor > Vehicle Decor > Bumper Stickers",,,TRUE,Title,Default Title,,,,,SKU20240413_174611,0.0,shopify,50,continue,manual,13.00,16.00,TRUE,TRUE,,https://i.postimg.cc/Pr2TDfWV/SKU20240413-174611-MY-BODY-MY-CHOICE-copy.jpg,1,,FALSE,,,,,,,,,,,,,,,kg,,,TRUE,,,TRUE,,,TRUE,,,active
6pcs5in-my-body-my-choice-bumper-sticker,,,,,,,,,,,,,,,,,,,,,,,,,https://i.postimg.cc/G3jC0353/SKU20240413-174611-MY-BODY-MY-CHOICE-copy.jpg,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6pcs5in-my-body-my-choice-bumper-sticker,,,,,,,,,,,,,,,,,,,,,,,,,https://i.postimg.cc/J4dSmsc8/SKU20240413-174611-MY-BODY-MY-CHOICE-copy.jpg,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6pcs5in-love-one-another-bumper-sticker,6pcs(5IN) love one another Bumper Sticker,6Pcs Vinyl decal stickers (5(in) x 1.67(in) x 0.03(in) each pack),Chansenchine,"Vehicles & Parts > Vehicle Parts & Accessories > Vehicle Maintenance, Care & Decor > Vehicle Decor > Bumper Stickers",,,TRUE,Title,Default Title,,,,,SKU20240413_174612,0.0,shopify,50,continue,manual,13.00,16.00,TRUE,TRUE,,https://i.postimg.cc/K8Mp2J87/SKU20240413-174612-LOVE-ONE-ANOTHER-copy.jpg,1,,FALSE,,,,,,,,,,,,,,,kg,,,TRUE,,,TRUE,,,TRUE,,,active
6pcs5in-love-one-another-bumper-sticker,,,,,,,,,,,,,,,,,,,,,,,,,https://i.postimg.cc/rs7GZ2WB/SKU20240413-174612-LOVE-ONE-ANOTHER-copy.jpg,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6pcs5in-love-one-another-bumper-sticker,,,,,,,,,,,,,,,,,,,,,,,,,https://i.postimg.cc/Wpq5r50B/SKU20240413-174612-LOVE-ONE-ANOTHER-copy.jpg,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6pcs5in-god-bless-texas-bumper-sticker,6pcs(5IN) god bless texas Bumper Sticker,6Pcs Vinyl decal stickers (5(in) x 1.67(in) x 0.03(in) each pack),Chansenchine,"Vehicles & Parts > Vehicle Parts & Accessories > Vehicle Maintenance, Care & Decor > Vehicle Decor > Bumper Stickers",,,TRUE,Title,Default Title,,,,,SKU20240413_174613,0.0,shopify,50,continue,manual,13.00,16.00,TRUE,TRUE,,https://i.postimg.cc/CxhCv7fL/SKU20240413-174613-GOD-BLESS-TEXAS-copy.jpg,1,,FALSE,,,,,,,,,,,,,,,kg,,,TRUE,,,TRUE,,,TRUE,,,active
6pcs5in-god-bless-texas-bumper-sticker,,,,,,,,,,,,,,,,,,,,,,,,,https://i.postimg.cc/T2cpk6jg/SKU20240413-174613-GOD-BLESS-TEXAS-copy.jpg,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6pcs5in-god-bless-texas-bumper-sticker,,,,,,,,,,,,,,,,,,,,,,,,,https://i.postimg.cc/LX360tP2/SKU20240413-174613-GOD-BLESS-TEXAS-copy.jpg,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
