SKU,Name1,Name2
SKU20240408_082139_I WILL NOT COMPLY,I WILL NOT,COMPLY
SKU20240408_082141_THERE IS POWER IN THE NAME OF JESUS,THERE IS POWER IN,THE NAME OF JESUS
SKU20240408_082142_WHEN IN EARTHS HISTORY DID CLIMATE NOT CHANGE,WHEN IN EARTH'S HISTORY,DID CLIMATE NOT CHANGE
SKU20240408_082143_IM NOT LOSING HAIR IM GETTING HEAD,I'M NOT LOSING HAIR,I'M GETTING HEAD!
SKU20240408_082144_PRAISE THE LORD,PRAISE,THE LORD
SKU20240408_082145_I DONT CARE WHAT THE BIBLE SAYS,I DON'T CARE WHAT,THE BIBLE SAYS
SKU20240408_082146_YES ITS FAST NO YOU CANT RIDE IT,YES IT'S FAST NO,YOU CAN'T RIDE IT
SKU20240408_082147_WATCH OUT FOR THE IDIOT BEHIND ME,WATCH OUT FOR THE,IDIOT BEHIND ME
SKU20240408_082148_WORLDS OKAYEST PHOTOGRAPHER,WORLD'S OKAYEST,PHOTOGRAPHER
SKU20240408_082149_HERES LOOKING AT YOU KID,HERE'S LOOKING,"AT YOU, KID."
SKU20240408_082150_IF YOURE NOT OUTRAGED YOURE NOT PAYING ATTENTION,"IF YOU'RE NOT OUTRAGED,",YOU'RE NOT PAYING ATTENTION
SKU20240408_082151_MY BRAKES ARE GOOD HOW IS YOUR INSURANCE,MY BRAKES ARE GOOD HOW,IS YOUR INSURANCE
SKU20240408_082152_HOLD MY BEER AND WATCH THIS,HOLD MY BEER AND,WATCH THIS!
SKU20240408_082153_I'M HERE BECAUSE YOU BROKE SOMETHING,I'M HERE BECAUSE,YOU BROKE SOMETHING
SKU20240408_082154_DONT FOLLOW ME IM LOST,DON'T FOLLOW,"ME, I'M LOST!"
SKU20240408_082155_NO BABY ON BOARD SO PLEASE FEEL FREE TO RUN INTO ME,NO BABY ON BOARD SO PLEASE,FEEL FREE TO RUN INTO ME
SKU20240408_082156_KEEP HONKING IM DEAF,"KEEP HONKING,",I'M DEAF!
SKU20240408_082157_I BRAKE FOR GOTH GIRLS,I BRAKE FOR,GOTH GIRLS
